,address,location
368,서울특별시 강동구 아리수로93가길 25 강일리버파크 제상가동 제1층 제102호,강일제일점
369,서울특별시 강동구 고덕동 동남로81길 10,고덕광문점
370,서울특별시 강동구 상일로 137 1층(고덕동),고덕리앤파크점
371,서울특별시 강동구 명일동 46-1 명성프라자 110호,고덕역점
372,서울특별시 강동구 명일로 210 (길동),길동4호점
373,서울특별시 강동구 천호대로 1123 (길동),길동6호점
374,서울특별시 강동구 진황도로 105(길동),길동도고점
375,서울특별시 강동구 천중로53길 13 ,길동무궁화점
376,서울특별시 강동구 양재대로116길 46 1층(길동),길동복조리점
377,서울특별시 강동구 양재대로 122가길 46(길동),길동본점
378,서울특별시 강동구 양재대로111길 15 1층 113호,길동스위트점
379,"서울특별시 강동구 천호대로175길 42 근린생활시설 104호(길동, 강동와이시티)",길동와이시티점
380,서울특별시 강동구 길동 천호대로193길 401층 101호,길동우성점
381,"서울특별시 강동구 천중로 49길 26 (길동, 재정빌라)",길동으뜸점
382,서울시 강동구 천호대로 1203 1층3호,길동제일점
383,"서울특별시 강동구 양재대로115길 60, 1층(길동)",길동타임점
384,서울특별시 강동구 길동 명일로19길 12,길동해그린점
385,서울시 강동구 양재대로 1400,둔촌2호점
386,서울특별시 강동구 양재대로128길 47(명일동),명일삼익점
